total_loss,pred_loss,policy_loss,sigreg_loss
2.2441935539245605,2.1348598693293752e-06,1.902085304260254,2.0401740074157715
1.8229650259017944,8.78477658261545e-06,57.081722259521484,1.6572328805923462
1.616309642791748,2.715362370508956e-06,24.72696876525879,1.469369888305664
1.457483172416687,3.7681779758713674e-06,62.08979034423828,1.3249812126159668
1.3593754768371582,3.5554614896682324e-06,88.46184539794922,1.235792636871338
1.3004783391952515,1.7861564174381783e-06,0.38411644101142883,1.1822513341903687
1.2632966041564941,1.349203557765577e-06,5.749658584594727,1.148450255393982
1.2372843027114868,1.6498042896273546e-06,75.98403930664062,1.1248023509979248
1.2169835567474365,1.993359092011815e-06,78.0417251586914,1.106346845626831
1.197848916053772,1.4710491313962848e-06,7.885063648223877,1.0889521837234497
1.1816867589950562,1.0418926876809564e-06,44.618064880371094,1.074259638786316
1.1663992404937744,9.69499069469748e-07,57.13513946533203,1.0603621006011963
1.153237223625183,8.645683919894509e-07,114.27706146240234,1.0483967065811157
1.1430295705795288,6.820807811891427e-07,2.4117672443389893,1.0391170978546143
1.1350436210632324,6.119586828390311e-07,57.5617790222168,1.0318572521209717
1.1287308931350708,6.562710268553928e-07,111.19639587402344,1.026118278503418
1.1238316297531128,5.606265176538727e-07,152.03912353515625,1.0216645002365112
1.119799017906189,5.58502392777882e-07,1423.4840087890625,1.0179985761642456
1.1172380447387695,5.075136186860618e-07,0.7863482236862183,1.0156705379486084
1.114341139793396,5.038810400037619e-07,0.31857043504714966,1.0130369663238525
1.1121159791946411,4.2281567402824294e-07,54.335731506347656,1.0110141038894653
1.1097102165222168,4.654318104257982e-07,2.5294058322906494,1.0088269710540771
1.107830286026001,4.551389451989962e-07,1484.298095703125,1.0071179866790771
1.1054843664169312,4.062448795139062e-07,131.31796264648438,1.0049854516983032
1.1046470403671265,3.721825123648159e-07,1294.13525390625,1.004224181175232
1.102773666381836,3.1307064318752964e-07,76.54439544677734,1.0025211572647095
